Symbol,Date,Total Assets,Total Liabilities,Total Equity,Total Revenue,Gross Profit,Operating Income,Net Income,Net profit margin,EPS
SVIIW,2024-06-30,164604816.0,9069179.0,155535637.0,0.0,,-181686.0,1931483.0,,
SVIIW,2024-03-31,162194183.0,8590030.0,153604153.0,0.0,,-250293.0,1979098.0,,
SVIIW,2023-12-31,250575588.0,8224062.0,242351526.0,0.0,,-277209.0,3012348.0,,
SVIIW,2023-09-30,247556607.0,8217429.0,239339178.0,0.0,,-211375.0,2964570.0,,
TVGNW,2024-09-30,4289472.0,10479941.0,-6190469.0,0.0,,-6085527.0,-5884223.0,,
TVGNW,2024-06-30,3310259.0,10944156.0,-7633897.0,0.0,,-8599027.0,-9663447.0,,
TVGNW,2024-03-31,3363407.0,9166077.0,-5802670.0,0.0,,-29516724.0,11264842.0,,
TVGNW,2023-12-31,17037333.0,17733130.0,-695797.0,0.0,,4559786.0,56778123.0,,
TVGNW,2023-06-30,5637801.0,92529515.0,-86891714.0,,,,,,
MAZE,2024-09-30,192480000.0,477012000.0,-284532000.0,2500000.0,,-24229000.0,-24752000.0,-9.9008,
MAZE,2023-12-31,71504000.0,445352000.0,-373848000.0,0.0,,-23051000.0,-26577000.0,,
MTSR,2023-12-31,168841000.0,214023000.0,-45182000.0,0.0,,-10062000.0,-11871000.0,,
SVCCU,2024-09-30,203815.0,222852.0,-19037.0,0.0,,-44037.0,-44037.0,,
FGMCU,2024-12-31,169035.0,171667.0,-2632.0,0.0,,-266.0,-266.0,,
FGMCU,2024-09-30,170854.0,173220.0,-2366.0,0.0,,-23403.0,-23403.0,,
SFD,2023-12-31,13317000000.0,5830000000.0,7487000000.0,3998000000.0,285000000.0,-118000000.0,-96000000.0,-0.0240120060030015,
COLAU,2024-09-30,180319.0,215722.0,-35403.0,0.0,,-12364.0,-12364.0,,
FLOC,2023-12-31,392088000.0,258337000.0,133751000.0,497450000.0,125824000.0,137512000.0,151654000.0,0.3048628002814353,
HIT,2024-09-30,9672395.0,2764540.0,6907855.0,4458921.0,3479293.0,438882.0,376086.0,0.08434462059318835,0.006956
HIT,2024-06-30,10763787.0,4232018.0,6531769.0,5002490.0,4027763.0,534936.0,338007.0,0.06756775125987258,0.006251
HIT,2024-03-31,10441050.0,4247288.0,6193762.0,5124931.0,4135020.0,332422.0,100536.0,0.01961704460021023,0.001859
HIT,2023-12-31,11503292.0,5410066.0,6093226.0,5216283.0,4264316.0,1455385.0,1002300.0,0.1921483171062613,
CEPO,2024-09-30,116665.0,171267.0,-54602.0,0.0,,-14040.0,-14040.0,,-0.000551
CEPO,2024-06-30,86165.0,126727.0,-40562.0,0.0,,-43302.0,-43302.0,,-0.001698
CEPO,2024-03-31,2740.0,0.0,2740.0,0.0,,0.0,0.0,,0.0
CEPO,2023-12-31,2740.0,0.0,2740.0,0.0,,-3472.0,-3472.0,,
AVR,2024-09-30,21102239.0,18205764.0,2896475.0,768981.0,325435.0,-20596679.0,-21858650.0,-28.425474751651862,-0.608201
AVR,2024-06-30,16800315.0,14250101.0,2550214.0,631540.0,319429.0,-18472317.0,-18707210.0,-29.62157583050955,-0.520515
AVR,2024-03-31,16649908.0,12254690.0,4395218.0,766367.0,292782.0,-17784225.0,-16349958.0,-21.33437113028092,-0.454926
AVR,2023-12-31,30527440.0,11629367.0,18898073.0,544156.0,186821.0,-13829950.0,-14186509.0,-26.070665397422797,
DRDBU,2024-09-30,196421.0,287162.0,-90741.0,0.0,,-90741.0,-90741.0,,
MLACU,2024-09-30,293442.0,313200.0,-19758.0,0.0,,-44758.0,-44758.0,,
MLACU,2024-06-30,31675.0,25628.0,6047.0,0.0,,-18953.0,-18953.0,,
TTAN,2024-10-31,1468144000.0,2044914000.0,-576770000.0,199275000.0,129945000.0,-38921000.0,-46460000.0,-0.23314515117300214,-0.692587
TTAN,2024-07-31,1486424000.0,2023790000.0,-537366000.0,,,,,,
TTAN,2024-01-31,1517666000.0,1995529000.0,-477863000.0,161764000.0,100212000.0,-51187000.0,-51412000.0,-0.3178210232190104,
