Symbol,Price_Increase_Percentage,Screeners,IBD_RSI,RSI_12M,Nr_Of_Spikes,Volume-Acceleration(%),RSI_3M,RSI_6M,MVP_Last_6Mo,Price_Tightness_1W
ADYEY,79.87012987012989,5,84,92.84009546539377,,,80.76923076923079,80.76923076923079,,3.757523179526115
CVLT,79.75605143721634,6,81,94.04494382022472,,,80.71698953462484,94.04494382022472,1,4.900425151040497
TTWO,78.03904170363796,5,87,90.18663455749537,,,79.3623520427644,79.3623520427644,,3.678121222586765
SGAPY,75.24134014764338,6,90,97.23076923076924,,114.00,76.02339181286546,91.09848484848487,,3.7606278613472814
IROQ,73.46801346801348,5,83,93.02325581395344,,,71.93877551020427,71.93877551020427,,1.2642740619902069
FJTSY,73.40501792114698,5,88,94.76923076923082,,,88.15566835871401,94.76923076923082,,11.451012815212895
DGICB,72.09302325581395,5,88,100.0,,,95.48022598870047,100.0,,11.098654708520183
SIBN,71.36752136752138,6,84,96.79245283018868,,,92.55617977528088,92.55617977528088,1,8.902377339403127
VRSN,71.18905148409266,5,90,96.72645739910318,,,87.08586883029068,96.72645739910318,,6.2259147958281815
EXE,70.24016203703702,7,87,89.72005507113352,1,56.25,88.22544642857143,88.22544642857143,,3.4588255290218473
MT,70.07797270955164,5,81,85.62401263823065,,,80.22922636103152,81.86915887850463,,6.117274167987321
MELI,70.05677419354839,5,88,88.70333230484417,,,86.55445188547802,86.55445188547802,,5.113282850509136
BH,69.92297576554576,6,85,84.6300798888503,,258.72,74.3452791178498,78.62756952841593,,12.820609964008325
CCHGY,69.77099236641222,6,92,87.20568636161707,,381.36,87.20568636161707,87.20568636161707,,4.208633093525186
OR,69.64285714285714,5,91,91.33574007220211,,,84.03100775193793,84.03100775193793,,4.7953216374268886
UBOH,69.58424507658643,5,84,98.12265331664578,,,86.51685393258427,98.12265331664578,,1.8826937002172324
ZS,69.04529162593678,5,89,98.95470383275263,,,98.95470383275263,98.95470383275263,,4.510408635312255
FRFHF,68.63680623174295,5,88,90.06816517379298,,,87.83753222669498,87.83753222669498,,6.211091864426363
TCEHY,67.90697674418605,5,82,88.32199546485259,,,78.4041630529055,88.32199546485259,,5.064045278522488
SENEB,67.74308652988404,5,89,100.0,,,99.40711462450591,100.0,,1.6916693265240867
DTEGY,67.52577319587628,6,87,91.58075601374578,,65.24,73.1391585760518,85.66666666666667,,3.435897435897445
