Symbol,RSI
SPKLU,14.07049139000415
SPSC,19.77495658593149
SRG,28.962082454077745
STAA,19.784357295062904
STAF,26.825401319138123
STBX,21.029437972362317
STSS,19.2288487992854
STZ,24.282182972454066
SWKS,20.156099002781147
TCBP,26.337735442593015
TCRX,25.77327052784831
TDC,19.20516614952176
TETE,22.7094945771872
TEVA,26.690530370625936
TFFP,20.36298698171288
TFIN,28.37471929828645
TFX,29.93180343223851
TGAAU,25.217854279621946
THRD,25.522207911826214
TNET,28.349317770034645
TNFA,29.3680693165161
TRNR,19.547318701686507
TROX,24.74865939514055
TTD,21.378560569118065
TTEK,14.741458406743448
TTOO,13.67970394500719
TWIN,24.804544476430564
ULH,24.569293278313978
ULTA,28.979778997871037
UPC,26.249814684406743
USLM,29.72725257618056
VALU,20.203998231605965
VERA,22.278422775115573
