Symbol,RSI
FRLAU,92.46443136565134
FSHP,80.06836363505852
FSHPU,77.1221339757877
FTNT,76.32083382142409
FTSM,82.66721629690495
FUNC,84.76632276905299
FUSI,73.62346762675969
FWONA,76.50565518762278
FWONK,72.24636501717781
FXNC,75.09451472061804
G,91.00921748194592
GATEW,98.99689475583872
GBIL,95.60669509281524
GDMN,73.23845748128394
GDSTU,70.29856346857733
GDX,71.84244402105757
GDXY,71.51217126121202
GDYN,72.08641687909073
GE,71.21838051428632
GFI,79.0751542279799
GHSI,99.64843932311943
GIB,70.66474175840105
GIGGU,71.00462281579544
GJR,70.82320113383815
GLAC,72.7225443715142
GLACU,93.05520653049616
GLD,72.56749858893038
GLDI,72.33440409793084
GLDM,71.74486641837053
GLLI,75.56503995339106
GLLIU,88.51586051522138
GPATU,76.75393804467173
GRAF,72.7409008412144
GROY,72.33237729632683
GSST,87.32401151477188
GSY,87.74136333315268
GUG,70.03669824426936
GUMI,82.238399944002
GWRE,71.5596525517285
GXG,74.2849662138529
HAIAU,89.7965149914097
HAPR,78.15432805160292
HCOM,73.35366045409381
HCVI,81.2941527741819
HCVIU,93.45080603561539
HEDJ,70.74622773554172
HEES,73.05306178356571
HEZU,72.13417096919
HGLB,75.60950170182582
HIMS,77.45618305997897
HJAN,87.61481986810958
HJUL,70.82161125771493
HLT,75.53491283081576
HMY,76.55934346116541
HOOD,71.289260135526
HPF,71.64683849692118
HSUN,70.42118862926237
HTBK,72.62838685067157
HYAC,71.17851352198997
HYPR,79.10518712879997
IAU,72.87744885574119
IAUM,73.54723407945465
IBDP,96.53236138599668
IBDQ,78.74596890728756
IBEX,76.09955346426648
IBHD,77.36504318440086
IBIA,93.275729701996
IBIB,88.78150057272418
IBIC,81.1965526019032
IBIO,80.43231224228971
IBMN,76.68932564869277
IBTE,78.8669308148502
IBTF,75.40802784462528
ICE,71.2125184596809
ICLO,85.26807105309274
ICSH,89.22360592521761
IFS,83.75401435687351
IGTAU,98.38825251459798
IHG,74.04655511580725
IIIV,78.80592346001234
INBS,79.53240948085588
IOT,73.07199667735136
ITCI,83.6162005511788
ITRG,70.12649758715943
IVVD,84.45785430751693
JAAA,93.3386079065264
JAJL,70.14893569361632
JAKK,76.87769523553187
JAND,82.89103890032717
JANQ,82.46974523349468
JBBB,78.13551223915007
JMHI,75.38399366711218
JMST,74.49736235045236
JPM,78.47714179945764
JPMO,77.30242001885766
JPST,88.5335794973992
JRSH,72.81898809275097
JZXN,78.9749051648079
K,70.22914022638442
KALA,82.14501773044003
KC,75.88376606146879
KGC,70.98487068405971
KGEI,73.85305049185128
KR,70.97267651625901
KVAC,84.28498713598745
LAPR,83.40432689861974
LEU,70.5572537975261
LION,70.54402734230054
LLY,71.3771087747804
LLYVA,70.817719082276
LLYVK,71.72397618765163
LLYX,70.4844488538096
LNC,71.5590533819074
LOPE,73.41874890763293
LQDA,75.60279415041742
LQDH,70.57560787145934
LRN,88.87128342371537
LSST,73.5553850492955
LTH,82.43244523859966
LTM,77.77229239652699
LTRY,86.46756128308311
LUCD,73.63456335418955
LX,70.0023025062977
LXEH,73.6609598170806
LYV,74.99708859482726
MAR,76.77935392853908
MAT,74.22152983155866
MBINO,79.60777343438927
MCAAU,96.47704225593833
META,79.64909234699945
METU,79.73726968380517
MGNI,78.08332445384598
MGRX,81.43064195393308
MINT,95.7057237092307
MITAU,90.05301019999195
MKL,77.9218525183376
MPLN,79.55806283505459
MRBK,73.12434655453565
MRNS,70.06014936336858
MT,71.89544303440834
MTTR,70.4553912082174
MURA,71.03023280244176
MUSQ,75.21361027198355
MWA,76.3136341897536
MYNZ,71.9550394815441
MYTE,72.69784741306563
NAN,70.99413163129849
NAPA,72.9805598160919
NARI,79.06371175214223
NB,73.42094984269127
NBB,73.74957389769818
NBCM,70.74608151770141
NBN,76.31524945199598
NBTX,72.88128410502787
NEM,71.51824269782362
NERD,72.55959156202334
NET,83.9757996556704
NFG,71.83204753358768
NFLP,75.18271145098214
NFLX,73.73022403061682
NFLY,72.65574621566329
NGVC,76.29589559044437
NIC,71.01349932057201
NMCO,74.0018804481842
NMR,71.31240868908549
NPFD,70.1395095089986
NSTS,77.91905275692027
NU,72.12530361835513
NUGT,71.90477726893242
NUSB,99.45982251830418
NVRO,70.40998632685054
NWS,77.80189484340266
NXN,72.33421223763386
NYAX,71.4243877977586
NYC,72.63790514064928
OBIL,80.35693612113465
OBK,70.43337609807064
OCCIN,70.45382961936033
OGIG,70.02923031634639
OGSP,71.54316974233387
