Symbol,Price_Increase_Percentage,Screeners,Price_Tightness_1W,RSI_6M,Volume-Acceleration(%),MVP_Last_6Mo,Nr_Of_Spikes,IBD_RSI,RSI_12M,RSI_3M
MELI,70.05677419354839,5,5.113282850509136,86.55445188547802,,,,88,88.70333230484417,86.55445188547802
BH,69.92297576554576,6,12.820609964008325,78.62756952841593,258.72,,,85,84.6300798888503,74.3452791178498
FMS,69.88287785833799,5,6.598818122127385,92.05298013245039,,,,90,92.05298013245039,87.93650793650797
MAG,69.79627989371127,6,4.126984126984114,88.98678414096916,97.51,,,88,88.98678414096916,88.98678414096916
CCHGY,69.77099236641222,6,4.208633093525186,87.20568636161707,381.36,,,92,87.20568636161707,87.20568636161707
SONY,69.75111678366306,6,6.466165413533844,86.97829716193655,92.27,,,89,94.85094850948506,86.97829716193655
T,69.66686148451198,5,2.196615052214618,96.4630225080386,,,,86,96.4630225080386,89.88439306358387
SAP,69.66505043749652,6,4.06661629931347,88.93442622950812,72.26,,,87,88.93442622950812,84.34456928838952
BBVA,69.66413867822318,5,4.725415070242658,97.4619289340102,,,,89,97.4619289340102,97.4619289340102
OR,69.64285714285714,5,4.7953216374268886,84.03100775193793,,,,91,91.33574007220211,84.03100775193793
UBOH,69.58424507658643,5,1.8826937002172324,98.12265331664578,,,,84,98.12265331664578,86.51685393258427
ZS,69.04529162593678,5,4.510408635312255,98.95470383275263,,,,89,98.95470383275263,98.95470383275263
ODC,68.71394638615541,5,4.60327074500303,92.4129353233831,,,,86,92.4129353233831,92.4129353233831
FRFHF,68.63680623174295,5,6.211091864426363,87.83753222669498,,,,88,90.06816517379298,87.83753222669498
LNG,68.36567993203946,5,4.087460574546076,98.60391803647826,,,,83,98.60391803647826,77.40655987795576
WPM,68.24480369515011,5,4.040404040404052,85.32731376975173,,,,90,87.78242677824272,80.95644748078571
CAH,67.90812493291831,5,2.5720563525914555,86.87635574837293,,,,90,87.98037612428465,86.87635574837293
TCEHY,67.90697674418605,5,5.064045278522488,88.32199546485259,,,,82,88.32199546485259,78.4041630529055
SENEB,67.74308652988404,5,1.6916693265240867,100.0,,,,89,100.0,99.40711462450591
DTEGY,67.52577319587628,6,3.435897435897445,85.66666666666667,65.24,,,87,91.58075601374578,73.1391585760518
KMI,67.18003186404675,5,4.55026455026456,88.69731800766283,,,,82,93.27731092436974,77.16894977168955
SPNT,66.69463087248323,5,4.7834843907351425,99.71098265895954,,,,90,99.71098265895954,99.71098265895954
PHAR,66.46616541353383,5,7.988980716253452,85.20408163265303,,,,82,85.20408163265303,85.20408163265303
NPSNY,66.41666666666666,6,3.247082699137496,89.43472409152086,,,1,87,89.43472409152086,84.96732026143788
FDP,66.1328308996703,6,4.12844036697249,91.08280254777068,50.18,,,84,91.08280254777068,91.08280254777068
NTES,66.11733684904418,6,6.007936507936503,87.01234567901236,,,1,90,94.77513227513236,87.01234567901236
UGI,65.1522035438437,5,3.06206896551724,93.31103678929779,,,,89,93.31103678929779,93.31103678929779
NIC,65.13157894736842,5,3.665338645418322,91.99178644763859,,,,84,91.99178644763859,85.92734225621416
ISBA,64.95726495726495,5,14.00696864111498,88.8349514563108,,,,88,100.0,88.8349514563108
BBUC,64.74464579901152,6,5.180102915951966,83.93881453154872,77.37,,,82,85.96237337192473,79.90373044524668
ASND,64.73129894679988,5,6.151024151635586,86.64067309665504,,,,80,86.64067309665504,82.87615974183133
TFPM,64.70588235294119,6,5.000000000000006,90.56047197640126,93.58,,,88,90.56047197640126,90.56047197640126
IBM,64.66703357182166,5,3.711650668172402,89.76672909926785,,,,84,94.77106475209962,84.18112906443251
WMT,64.1209476309227,5,3.298045602605858,95.29411764705875,,,,82,98.81209503239741,81.00649350649348
GE,63.78162450066579,5,7.317073170731707,99.04144347335776,,,,90,99.04144347335776,99.04144347335776
BJRI,63.781238681637085,6,9.653794940079896,88.41259209645008,,1,,87,88.41259209645008,88.41259209645008
PRDO,63.667820069204154,6,8.57746904258532,89.10550458715596,,,1,90,98.434004474273,89.10550458715596
HCSG,63.37719298245615,6,5.7277628032345,92.82051282051282,,,2,88,92.82051282051282,92.82051282051282
CHTR,62.996941896024474,6,5.246906305244547,88.64285011317783,,,1,84,88.64285011317783,88.64285011317783
WOR,62.909186906019,5,4.627766599597582,99.411331861663,,,,89,99.411331861663,99.411331861663
UVE,62.90909090909091,5,3.19940476190476,84.66257668711651,,,,85,90.43062200956948,84.66257668711651
BA,62.678460583488516,5,4.041135573580535,98.02796701326646,,,,84,98.02796701326646,96.03681922781888
ISNPY,62.51076033348713,6,4.710814814814815,92.00913242009136,52.27,,,88,92.00913242009136,92.00913242009136
PUK,62.26546212647672,5,3.9479392624728855,81.97115384615384,,,,87,88.51063829787248,81.97115384615384
ALIZY,62.22641509433963,6,2.449999999999992,90.29585798816575,73.23,,,86,92.8104575163399,90.29585798816575
BNPQY,62.115451088835115,5,4.060116644235072,84.11386593204773,,,,85,84.30851063829793,84.11386593204773
APH,62.0960379769947,5,6.014868213561616,93.53187529083289,,,,88,93.53187529083289,93.53187529083289
MOS,61.940966010733455,6,4.44628555647611,97.7203647416413,,1,,90,97.7203647416413,97.7203647416413
SSREY,61.689655172413794,5,2.5578291814946583,83.72641509433966,,,,85,99.10394265232974,80.0166527893422
MMM,61.58536585365852,5,4.250179539074226,90.31886285055701,,,,81,91.3202042304888,77.23523589574397
CNM,61.5260612573885,5,4.920116194626,81.84494602551518,,,,71,90.82125603864733,78.43137254901958
TXNM,61.10798650168727,6,1.6264428121720877,85.96750369276222,103.27,,,87,92.08633093525184,83.70253164556961
CFRUY,61.10260336906583,5,5.390428211586903,93.12267657992564,,,,78,93.12267657992564,82.57142857142858
CHKP,60.79588336192111,5,5.416666666666674,93.12739463601531,,,,82,98.19277108433742,68.5878175361923
FYBR,60.49938600081867,5,1.22249388753057,88.33333333333331,,,,80,88.33333333333331,88.33333333333331
NATH,60.31650339110778,5,4.505021520803437,87.05293276108729,,,,85,87.05293276108729,81.29890453834109
BHF,60.30000000000001,6,6.534879921581441,89.1229789318961,135.63,,,82,94.1379310344827,84.28669882839421
RGLD,60.19044437019713,6,3.4949639495844536,91.54481881754619,65.38,,,86,96.3267543859649,91.54481881754619
PAC,59.73946255626791,5,4.606976644891345,81.95571955719558,,,,85,81.95571955719558,81.95571955719558
GNTY,59.53350610884858,5,5.362626978502235,87.21340388007053,,,,81,87.21340388007053,81.10882956878848
IIIV,58.763985082578586,6,6.490015360983094,84.45595854922277,,,1,74,91.62303664921458,73.42419080068142
WRLD,58.70974076983503,5,8.580577702261158,84.89291915878835,,,,84,88.38883888388841,80.57833405265431
WELL,58.62931465732867,5,4.26323692629105,80.36154478225143,,,,82,91.82724252491684,79.1294209094442
FNV,58.59804791481811,6,4.356528906158016,89.2443208159481,65.21,,,89,96.72789896670497,86.39207507820642
BK,58.49947534102833,5,2.647612717403346,100.0,,,,84,100.0,100.0
CAAP,58.43179377013964,5,9.926806953339424,82.98319327731095,,,,83,88.78281622911693,82.98319327731095
RBKB,58.35616438356166,5,7.0069204152249185,85.71428571428575,,,,87,88.52459016393439,84.54106280193241
DRI,58.28794347122037,5,6.105556847244838,91.48665819567982,,,,87,91.48665819567982,88.49485652409307
BHKLY,58.19878005023323,5,3.2206849625765517,79.19725893294176,,,,89,79.19725893294176,79.19725893294176
ORANY,58.12500000000001,6,2.964426877470351,87.29641693811075,,,1,89,87.29641693811075,75.97597597597596
BWFG,57.89473684210525,5,6.441631504922642,90.03931847968548,,,,83,90.03931847968548,90.03931847968548
JCI,57.82926450007775,5,5.408866995073887,97.36174530695081,,,,88,97.36174530695081,97.36174530695081
SIEGY,57.6636087235668,6,5.651146245059293,84.27707531610776,63.68,,,84,86.68197474167626,82.34735843087631
SSBK,57.585513078470804,7,4.154969118472759,83.98203592814363,149.11,,1,76,94.8626045400239,83.98203592814363
VLGEA,57.50915750915752,6,6.96764091858038,82.55659121171769,73.99,,,84,90.55876685934486,82.55659121171769
MCK,57.404018001335025,5,1.8128395609269221,92.27053140096614,,,,83,92.33545647558384,92.27053140096614
NC,57.40373163953949,6,6.956521739130436,86.48648648648651,,,1,81,87.218045112782,73.03988995873458
FRAF,57.374517374517374,6,1.6393442622950833,94.04600811907987,93.76,,,83,99.18699186991869,80.60522696011009
NFG,57.26947011125778,5,4.232613908872903,91.82222222222221,,,,88,91.82222222222221,87.0772946859904
OLLI,57.10610932475885,5,10.807101809760706,80.25686977299878,,,,85,92.07807118254874,77.7171937477281
HSBC,57.01598579040854,5,2.7076411960132933,86.18376928236086,,,,83,86.18376928236086,86.18376928236086
DE,56.90182245737802,5,3.2905680579721186,88.755980861244,,,,83,88.755980861244,88.755980861244
BLX,56.667884545122405,5,4.910179640718556,84.6580406654344,,,,85,84.6580406654344,83.10580204778154
GCMG,56.54054054054054,6,6.356589147286824,87.02290076335878,90.46,,,72,94.44444444444444,71.83098591549302
APG,56.35772357723576,6,6.405990016638932,96.17058311575285,,1,,86,96.17058311575285,96.17058311575285
STVN,55.495169082125614,5,10.032760032760043,75.20661157024789,,,,81,98.93048128342248,71.14093959731542
AXAHY,55.47680412371135,6,2.8950415833245606,93.87129724208374,51.41,,,85,93.87129724208374,93.87129724208374
RBA,55.47175181443006,5,4.677345537757437,88.5606874328679,,,,81,92.13002566295978,86.64451827242523
SGI,55.12877442273536,6,5.422408627920918,88.06584362139917,99.97,,,82,88.06584362139917,75.78947368421052
AL,54.95424836601308,6,5.281990117566868,98.77955758962621,,1,,84,98.77955758962621,98.77955758962621
FORTY,54.91530331547707,5,6.9478908188585615,94.62851405622487,,,,80,100.0,94.62851405622487
THFF,54.91329479768786,5,4.915221947037541,84.98942917547579,,,,78,85.52534900808226,81.24018838304549
KT,54.80916030534353,6,4.05885337392187,93.61702127659564,52.07,,,84,93.61702127659564,93.61702127659564
LOPE,54.77848343408065,5,2.659520679542922,93.39233038348081,,,,85,94.3013100436681,92.08937198067632
GPOR,54.73004153207198,5,4.313942380210159,98.86749716874299,,,,83,98.86749716874299,84.77047146401985
CNP,54.702872884691075,5,3.293807641633728,83.06709265175716,,,,84,85.34482758620693,80.36649214659676
BFC,54.5974025974026,6,3.272665128599503,87.95240456122953,66.77,,,83,96.05418138987042,87.95240456122953
SII,53.97032022910702,6,5.292526208995608,82.39254272397723,126.03,,,90,83.64849833147943,82.39254272397723
WMB,53.944083874188706,5,5.996385740101854,81.00092678405929,,,,83,88.78612716763,78.58672376873666
RRC,53.719311102968135,5,3.655807013180798,90.9316770186335,,,,76,90.9316770186335,85.17618469015797
EQH,53.59297860669226,5,6.131900703964423,95.54597701149423,,,,79,95.54597701149423,78.25311942958999
RYAAY,53.43614718614719,5,4.002821371892088,84.40797186400938,,,,86,84.40797186400938,84.40797186400938
SRBK,52.68456375838927,5,5.131964809384172,86.41975308641972,,,,84,94.07894736842107,86.41975308641972
AXS,52.675683622463986,5,3.828588086677678,91.86560565870909,,,,84,91.86560565870909,91.86560565870909
MYFW,52.574002574002584,6,11.303247574862924,88.12095032397401,101.13,,,77,89.06976744186042,81.48734177215188
DBSDY,52.4600438733939,5,4.212765957446807,96.79658302189004,,,,79,96.79658302189004,96.79658302189004
KEN,52.252252252252276,7,6.242840778923251,81.31868131868133,119.74,,1,86,81.31868131868133,81.31868131868133
VEEV,52.08810572687225,5,3.915562913907288,79.08400168847615,,,,75,82.14686728048505,78.44336637840118
TRP,52.02842759846017,5,2.993894031908613,85.64516129032256,,,,82,94.36008676789591,85.64516129032256
PSO,51.95246179966043,6,2.699460107978421,79.61165048543691,125.74,,,77,92.7756653992395,69.75308641975306
CASY,51.31734046959128,5,3.2109589041095843,85.58573035513407,,,,80,85.58573035513407,79.66135859705702
BTI,51.316227924025306,6,3.0830213609337123,93.05354558610713,55.12,,,86,98.42767295597493,78.69415807560134
TW,51.09373453429674,5,4.172836182527942,94.11764705882345,,,,81,94.11764705882345,94.11764705882345
WWD,50.73982737361285,6,7.280163599182009,94.2355117139334,,1,,85,94.2355117139334,94.2355117139334
CLBR,50.73891625615764,7,15.032679738562097,95.83333333333336,335.34,,1,91,98.6577181208054,95.83333333333336
CME,50.524383848977465,5,3.567322766068632,82.55070853014732,,,,87,83.65098272781422,82.55070853014732
ASTE,50.351370344342925,5,6.912442396313351,86.92628650904037,,,,78,86.92628650904037,86.92628650904037
CNH,49.46120689655172,6,4.216867469879508,94.59459459459455,56.61,,,76,94.59459459459455,88.43283582089556
TELNY,49.38388625592416,5,4.18781725888325,91.12426035502958,,,,86,91.12426035502958,81.43322475570032
PCLB,49.31751509922348,5,1.184628720023105,100.0,,,,83,100.0,100.0
WRB,49.267148719953084,5,3.643452541005639,86.80000000000001,,,,86,94.84304932735432,86.80000000000001
BSX,49.09571508069005,6,3.32523818419578,88.38475499092557,,,1,83,88.95859473023845,88.35149863760222
FER,48.8132911392405,6,3.878583473861721,89.20233463035015,131.81,,,85,95.22471910112355,89.20233463035015
MNST,48.77654662973223,5,3.1497284716834772,87.91540785498484,,,,86,87.91540785498484,87.91540785498484
SXT,48.578772301179306,7,2.998015251227415,92.57903494176368,148.60,,1,88,92.57903494176368,92.57903494176368
CIB,48.578042328042336,6,5.84385226741468,92.33296823658266,54.61,,,79,92.33296823658266,73.3410942956927
KAR,48.57512953367877,5,4.795117698343511,95.10022271714925,,,,83,95.10022271714925,95.10022271714925
DMYY,48.07692307692307,7,16.493506493506498,100.0,363.98,,2,88,100.0,89.15662650602417
KBCSY,47.75251967924667,5,3.963353913563039,84.05197873597163,,,,86,84.05197873597163,79.48523845571536
IBDRY,47.63973928500888,5,3.6254180602006607,84.13284132841324,,,,88,98.48812095032397,84.13284132841324
EHC,47.4014986705342,5,3.0474782322983356,88.73615883925162,,,,87,88.73615883925162,88.73615883925162
MGYR,47.37335834896811,5,3.121019108280245,78.5714285714286,,,,83,91.7874396135265,78.5714285714286
SCHW,47.270939190296666,5,3.282743114109052,94.90566037735843,,,,82,94.90566037735843,94.90566037735843
THG,47.21711515961892,5,5.93820127740376,78.35258663987945,,,,80,89.81876332622602,78.35258663987945
AAMI,46.946386946386944,5,4.9524434240734605,85.35714285714286,,,,84,85.35714285714286,85.35714285714286
AMADY,46.92147186433941,6,3.8671411625148173,82.52427184466035,,,1,82,88.29663962920029,82.52427184466035
DNKEY,46.63408131526328,8,4.414141414141426,86.87350835322194,99.34,1,1,85,92.5806451612903,86.87350835322194
TCI,46.352941176470594,5,12.031082529474817,89.79187314172447,,,,87,89.79187314172447,89.79187314172447
BKSC,46.2121212121212,5,3.655172413793099,85.27131782945739,,,,77,85.27131782945739,85.27131782945739
V,46.08231104075979,5,3.762397879723485,96.68746999519924,,,,82,96.68746999519924,89.08433734939764
RBC,46.04460138947532,6,6.625721198585524,88.13384813384816,,,1,78,89.43361753958594,85.97863697908825
DANOY,45.74649050371594,6,1.887888469358114,88.7218045112783,82.59,,,86,98.23008849557526,85.9315589353612
ADRNY,45.645543883429326,5,2.47557003257329,92.34693877551027,,,,85,92.34693877551027,92.34693877551027
PGR,45.52001589351346,5,4.331700489853042,86.10979649787036,,,,77,93.30060641062657,82.30805913209352
AM,45.27439024390244,5,3.882476390346267,96.7213114754099,,,,85,96.7213114754099,96.7213114754099
SWDBY,45.002672367717786,6,3.335790637670467,87.05882352941177,,,1,85,87.16216216216228,87.05882352941177
PBH,44.41058540497194,6,3.675626005053989,77.59197324414713,61.73,,,74,98.55072463768116,74.45378151260505
BCH,44.39909297052154,6,2.862595419847335,88.21656050955411,78.56,,,84,88.21656050955411,87.15953307392994
NRDBY,44.367530412326076,7,3.1165311653116468,98.61751152073735,98.91,1,,81,98.61751152073735,98.61751152073735
YARIY,44.22110939907549,6,3.418287490851985,89.46459412780658,,,1,87,89.46459412780658,89.46459412780658
COR,44.04451480722669,5,1.9137942756135684,96.74335225575165,,,,84,96.74335225575165,96.74335225575165
GTPS,43.894218304381646,5,0.0,100.0,,,,84,100.0,100.0
LSBK,43.64406779661015,7,3.8681039949270732,81.74807197943443,96.06,,1,79,81.74807197943443,76.07361963190182
AZO,43.527570942776734,5,6.865728900255749,81.40758245145375,,,,83,92.71434399953371,77.8272689251359
AJG,43.37694194603434,5,3.0723171724218092,90.0020487604999,,,,80,90.0020487604999,78.1581740976645
STN,42.7849139109046,6,4.756436022585893,92.56550883607557,73.58,,,84,92.56550883607557,92.56550883607557
HG,42.72547728768927,5,4.675081813931744,87.53117206982536,,,,79,87.53117206982536,87.53117206982536
RPRX,42.7027027027027,7,3.5403540354035394,95.11041009463725,65.12,1,,76,95.11041009463725,64.80186480186471
KRYAY,42.48200984724152,5,3.5467980295566575,77.2678762006403,,,,78,82.14990138067058,68.59446196985623
KVUE,42.444821731748725,5,3.940886699507393,93.62244897959184,,,,70,93.62244897959184,72.65135699373694
EBAY,42.42896068509148,5,2.978955998906814,81.4873417721519,,,,82,81.4873417721519,77.42857142857139
ECBK,42.17573221757322,6,4.431137724550889,78.31325301204821,78.77,,,80,83.18181818181822,77.15877437325904
CBOE,42.06946367302716,5,3.533508145982891,79.64071856287426,,,,77,84.76377952755897,75.07055503292567
ADP,41.8212478920742,5,3.15253513826642,92.386685552408,,,,78,92.386685552408,92.386685552408
ABT,41.64075819877645,5,4.215319086436059,87.8886478669559,,,,75,87.8886478669559,72.47043363994746
WTS,41.51223128243142,7,3.7573673870334017,88.29259652851579,55.81,,1,81,88.73476250525437,88.29259652851579
CTVA,41.39172165566886,5,3.9315514071559714,95.20333680917615,,,,83,95.20333680917615,95.20333680917615
RSG,41.25255651981648,5,3.071926117241917,84.12242945958872,,,,83,87.84119106699762,82.27897838899798
ALCO,40.82644628099173,5,3.827006845052895,79.16666666666663,,,,80,81.14374034003096,79.16666666666663
FHI,40.58898847631243,5,2.66044340723454,94.42934782608691,,,,80,94.42934782608691,94.42934782608691
HCMLY,40.490081680280035,6,6.234309623430956,86.97674418604662,64.21,,,79,93.11224489795912,86.97674418604662
BSAC,40.35184167124793,5,4.409448818897628,89.04494382022477,,,,82,89.04494382022477,80.20134228187914
ENLT,40.25695931477515,6,12.635939927498693,92.47572815533984,,,1,78,92.47572815533984,92.47572815533984
RTX,40.12314525083275,5,5.7052297939778045,86.43259644560032,,,,77,87.29281767955804,86.43259644560032
PSMT,40.03354405883112,5,5.896443707388986,83.0774479699761,,,,84,83.0774479699761,83.0774479699761
SOBKY,39.89637305699481,5,7.244055763277192,86.1313868613138,,,,81,90.3954802259887,79.50530035335689
MO,39.767282683093775,5,2.0183486238532127,79.07348242811504,,,,79,94.31818181818197,79.07348242811504
HMN,39.704495441685,5,4.003639672429476,84.29752066115701,,,,80,86.4661654135337,77.90055248618789
CICHY,39.35532233883058,5,5.196241017136546,89.58333333333329,,,,78,90.17857142857143,89.58333333333329
AER,39.33828001459677,5,3.832387603666522,99.28057553956835,,,,81,99.28057553956835,99.28057553956835
EADSY,39.29618768328445,6,5.74121679520137,83.57142857142863,60.03,,,77,89.10256410256409,80.39430449069005
SLF,39.258780435251026,5,2.8469750889679664,89.06752411575563,,,,81,96.00967351874246,89.06752411575563
NTR,38.47562371252003,5,3.10743801652893,90.13785790031814,,,,80,90.13785790031814,89.94368463395013
PAYX,38.43154246100519,6,3.4992175273865436,88.67801047120423,,,1,78,88.67801047120423,88.67801047120423
FAST,38.331160365058665,5,4.428571428571428,77.0142180094787,,,,80,86.85446009389678,73.29434697855753
CTAS,38.31322379191172,5,3.464539163397547,82.17332734620567,,,,78,94.8640483383686,82.17332734620567
TRV,37.96014185105637,5,2.9289308859201246,79.13294797687865,,,,81,91.61969184517102,79.13294797687865
LNSTY,37.482806052269595,5,3.8769384692346107,81.58458244111351,,,,79,88.02017654476681,81.58458244111351
BAP,37.4763489267306,5,5.692145795465419,87.28789186079956,,,,81,88.86332259549026,87.28789186079956
IBN,37.30095541401274,5,2.5514641925195782,94.33551198257085,,,,84,94.33551198257085,94.33551198257085
CPA,37.22034745656793,5,8.00619364240824,89.23654568210264,,,,81,89.23654568210264,89.23654568210264
MA,37.21261017581496,5,2.848013816925736,92.13068181818186,,,,79,92.13068181818186,92.13068181818186
HDB,37.036363636363646,5,2.5965289923314847,91.89189189189189,,,,85,98.87410440122818,91.89189189189189
EPR,36.86982693754704,5,5.3692505039398934,90.70680628272251,,,,81,90.70680628272251,86.16236162361622
NEU,36.18958333333334,5,2.9207061317928296,89.02731912338643,,,,79,89.02731912338643,89.02731912338643
ICE,36.15600576675014,5,3.3862315601251685,99.74380871050383,,,,78,99.74380871050383,99.74380871050383
ENB,36.0693641618497,5,3.099440378820486,91.35618479880776,,,,78,91.35618479880776,91.35618479880776
ALL,35.90578322481808,5,3.545485158993604,80.6565064478312,,,,77,85.88640275387272,80.6565064478312
HIG,34.56601466992666,5,2.849544072948328,88.4393063583815,,,,80,96.20512820512816,88.4393063583815
TR,33.08439133681852,5,7.407407407407408,74.18772563176896,,,,83,87.75510204081633,74.18772563176896
TLGYF,32.3918799646955,5,0.0,100.0,,,,89,100.0,100.0
