Symbol,Qrt-EPS-Increase-(%)
TGNA,25.926732977850698
TGS,54.651595755661035
TIGR,130.83333333333331
TILE,37.87351064827844
TOST,67.81746031746032
TRMB,24.999999999999996
TSLA,78.60707993612206
UAL,236.8167719650709
UCB,67.02355378825969
UFCS,211.32192807192806
UNM,38.91675439117775
USFD,32.46740092720245
UTI,79.15966386554624
UXIN,26.76526270154416
VALU,21.447253705318218
VBFC,47.742343157779835
VCEL,20.568181818181817
VCYT,180.29460377021348
VERX,85.83333333333334
VIRT,249.60408401444442
VIST,29.83761180379638
VMEO,22.107759767248552
VSCO,217.30740934118091
WGS,23.525282600043997
WH,111.74552433724816
WILC,101.78376818177983
WIX,173.79184600669532
WLFC,32.294182019272974
WMT,252.88908473001345
WTM,351.2226338046432
YPF,174.9747934656172
YUMC,41.45390333002513
