Symbol,Price_Increase_Percentage,Screeners,Volume-Acceleration(%),RSI_12M,Nr_Of_Spikes,MVP_Last_6Mo,RSI_3M,RSI_6M,Days_Traded,Price_Tightness_1W
MBAV,16.048144433299896,8,141.93,100.0,1,,100.0,100.0,170,9.766637856525504
AHL,14.024005053695518,3,,,,,,,14,5.53215388935692
BEAG,13.821138211382108,7,,100.0,1,,93.9393939393936,100.0,111,1.240458015267183
GSRT,13.286004056795136,8,74.52,86.20689655172386,1,,86.20689655172386,86.20689655172386,108,7.96777081468219
VACH,12.562814070351761,6,,90.0,,,90.0,90.0,165,0.0
POLE,12.386706948640489,6,,100.0,,,87.50000000000028,100.0,145,0.3883495145631158
B,11.832280298678914,3,,,,,,,13,3.814002089864161
OACC,9.04522613065327,6,,84.3137254901961,,,84.3137254901961,84.3137254901961,111,0.7640878701050627
SBXD,8.743718592964834,7,62.62,100.0,,,94.73684210526325,100.0,160,1.240458015267183
CHAR,8.400809716599191,6,,100.0,,,100.0,100.0,124,0.09813542688910488
WLAC,8.163265306122437,6,,100.0,,,100.0,100.0,102,4.528301886792456
CEPT,8.055555555555548,6,,72.51908396946567,,,72.51908396946567,72.51908396946567,18,4.455869751499568
ALDF,7.979797979797971,7,,100.0,1,,96.96969696969653,100.0,112,0.5736137667304062
VCIC,7.831325301204813,7,63.34,100.0,,,100.0,100.0,145,0.19398642095054655
RANG,7.366296670030277,6,,100.0,,,100.0,100.0,94,0.0
DYNX,7.259713701431501,6,,100.0,,,100.0,100.0,116,0.2979145978153042
YHNA,7.107107107107098,6,,100.0,,,90.00000000000017,100.0,136,0.0
EQV,5.971659919028339,7,58.96,100.0,,,96.1538461538462,96.1538461538462,166,0.9551098376313412
ASPC,5.628140703517593,6,,100.0,,,100.0,100.0,99,1.070038910505831
CAPN,5.226130653266345,6,,100.0,,,100.0,100.0,147,0.09765624999999792
RIBB,5.025125628140704,6,,100.0,,,100.0,100.0,57,0.19841269841269418
JACS,4.828973843058355,7,,80.00000000000036,1,,80.00000000000036,80.00000000000036,82,0.19569471624267468
FACT,4.7715736040609205,6,,100.0,,,100.0,100.0,107,0.5870841487279892
AAM,4.71887550200802,6,,100.0,,,89.28571428571442,100.0,175,0.8637236084452962
LOKV,4.59183673469387,6,,100.0,,,100.0,100.0,27,0.09930486593842885
SIMA,4.422110552763833,6,,87.50000000000028,,,77.77777777777777,87.50000000000028,185,0.5774783445620837
HSPT,4.295704295704293,6,,100.0,,,100.0,100.0,78,0.0982318271119822
BACQ,4.285714285714285,6,,88.2352941176465,,,88.2352941176465,88.2352941176465,121,0.48923679060666053
DTSQ,4.116465863453798,6,,100.0,,,100.0,100.0,175,0.0
GIG,4.044489383215354,6,,100.0,,,100.0,100.0,178,0.388726919339156
DRDB,3.9513677811550214,6,,95.23809523809533,,,95.23809523809533,95.23809523809533,80,0.974658869395708
AIFE,3.9433771486349722,6,,100.0,,,100.0,100.0,85,1.8482490272373493
EURK,3.892215568862281,6,,100.0,,,100.0,100.0,177,0.48030739673391654
FVN,3.718592964824131,6,,100.0,,,100.0,100.0,140,0.38797284190107584
NTWO,3.340080971659919,6,,100.0,,,100.0,100.0,103,0.3921568627450897
DMAA,3.2160804020100535,6,,83.33333333333358,,,83.33333333333358,83.33333333333358,65,0.2955665024630654
RDAC,2.802802802802796,6,,100.0,,,100.0,100.0,121,0.09746588693956908
PLMK,2.6156941649899377,6,,100.0,,,100.0,100.0,81,0.0984251968503916
GSHR,2.6130653266331816,3,,,,,,,12,0.09970089730807366
AACB,2.5380710659898478,6,,75.00000000000028,,,75.00000000000028,75.00000000000028,36,0.29821073558649236
MLAC,2.5150905432595576,6,,100.0,,,100.0,100.0,80,0.39254170755641954
TDAC,2.400000000000002,6,,100.0,,,100.0,100.0,72,0.48828125000000694
FERA,2.3302938196555263,6,,86.36363636363659,,,86.36363636363659,86.36363636363659,27,0.6944444444444473
HVII,2.2426095820591114,6,,87.50000000000028,,,87.50000000000028,87.50000000000028,77,0.19940179461614732
RAC,2.2289766970618103,6,,84.21052631578976,,,84.21052631578976,84.21052631578976,27,0.6937561942517373
NHIC,2.028397565922932,6,,100.0,,,100.0,100.0,28,0.19940179461614732
BOBP,1.8867924528301925,3,,,,,,,5,1.8518518518518552
SVCC,1.7085427135678386,6,,92.3076923076924,,,92.3076923076924,92.3076923076924,46,0.6916996047430684
COLA,1.507537688442215,6,,81.25000000000021,,,81.25000000000021,81.25000000000021,51,0.09910802775024566
ATII,1.5060240963855278,6,,86.66666666666683,,,86.66666666666683,86.66666666666683,38,0.4945598417408401
DEFR,1.1670020120724311,3,,,,,,,10,1.1535401750198853
QSEA,0.6024096385542039,3,,,,,,,12,0.2997002997002933
TVA,0.3006012024048032,3,,,,,,,8,0.19999999999999576
PMVC,0.0,2,,,,,,,197,
