Symbol,Price_Tightness_1W
MA,4.408191010281256
RBKB,4.444444444444445
TIGO,4.476011793084968
AR,4.497583942510216
IMAX,4.500907441016341
UNM,4.520116335433822
PGR,4.545140089934294
LRN,4.550044175186171
V,4.586211567113626
AXON,4.647435897435892
DRI,4.673779624209237
RRC,4.675196850393697
LLYVA,4.692082111436958
AXS,4.699085219065957
DE,4.700438382854355
NTR,4.7196652719665275
BA,4.7310900201323
EPR,4.740822726434238
BOTJ,4.758620689655169
VLGEA,4.806408544726313
HG,4.808590102707755
VEEV,4.817745705030957
SPNT,4.831404126824363
DUOL,4.850746268656716
LNG,4.890109890109887
BSAC,4.896200548374461
PUK,4.8969072164948475
ESE,4.917142080956268
HCSG,4.919137466307281
CSGS,4.935459377372807
BBVA,4.9808429118773905
MMM,4.989336263168099
IBM,5.009655377302429
CMP,5.030487804878041
HMN,5.040504050405029
GF,5.087719298245615
SFM,5.092947772204188
CIB,5.134243994347621
OKTA,5.14227482950536
WTS,5.158714153188408
SE,5.183845690174801
NTES,5.1871788597993636
PSMT,5.215293244246478
LPLA,5.218980921238956
LMB,5.231839258114382
RBLX,5.27456647398845
VIRT,5.276735459662288
HCI,5.288235294117652
RTX,5.402679729145656
PLMR,5.417881438289594
PCRX,5.4254923820141245
CEF,5.431848852901482
GWRE,5.434632552574664
ESQ,5.450597176981538
ASND,5.47481216898632
JBL,5.48858981860737
CHKP,5.492723128178152
WOR,5.593360995850618
FDP,5.660377358490574
SONY,5.7032755298651265
PM,5.786233911583646
WILC,5.800604229607256
NRG,5.810359747805665
CVNA,5.85638228801455
CAE,5.8620689655172455
CCB,5.873226950354607
LI,5.886310124453414
CPA,5.923994038748137
WWD,5.955289237151412
SPOT,5.994020926756356
ATRO,6.003210272873186
NATH,6.032941176470585
BCRX,6.043437204910298
TLN,6.076164294954722
CPRX,6.08870967741936
DASH,6.110475100171711
MT,6.117274167987321
NTNX,6.13003838771593
CBOE,6.135550863889012
PERI,6.142728093947603
PBH,6.165379881391972
IDT,6.17303694226771
FER,6.183249016301287
CSV,6.200676437429538
AL,6.208874641471232
PHYS,6.257287213369605
EYE,6.259620318111847
NWG,6.271777003484323
EQH,6.288144997225816
AHR,6.3108145676952905
ITRN,6.365289685632638
IDCC,6.383075523202912
APG,6.405990016638932
DAN,6.422569027611045
CHN,6.429124709527499
MAG,6.439595529536993
PAC,6.446365893331052
SKWD,6.461731493099118
THFF,6.465517241379317
TKO,6.477341389728096
CRWD,6.507512012697586
SLNO,6.518777972368155
REVG,6.5239814337287285
LOAR,6.588343699608385
FCAP,6.600985221674879
CXW,6.637931034482755
DB,6.673546611627111
LINC,6.693803708729083
CRK,6.699346405228761
FMS,6.730137885751808
SRAD,6.76387201296072
NGVC,6.778052022023923
GRND,6.790622473726758
CVLT,6.808463984212251
FORTY,6.9478908188585615
BAP,6.952206590865295
BBUC,6.967351060249075
CHEF,6.988836213488302
GNTY,7.03179391970295
ATGE,7.040590405904064
SNEX,7.106883044208165
OMAB,7.133819951338198
CRS,7.189652986178617
BJ,7.270153231179218
FUTU,7.296289721285282
LAUR,7.322357019064116
RDVT,7.397260273972604
QFIN,7.497781721384196
DRVN,7.499999999999996
UTI,7.5165198237885384
ESP,7.54966887417219
CHWY,7.552666965486324
DRS,7.557603686635947
FNV,7.581420181526963
BWFG,7.611111111111117
TME,7.635327635327633
DGICA,7.670454545454549
CNH,7.692307692307683
BHF,7.710921116309084
EAT,7.775057974748789
ATEC,7.803578226113441
BTI,7.816294987856037
LBRDA,7.823793709708919
MRX,7.8287197231834
RBC,7.860916187022005
APEI,7.9018157363819705
ERJ,7.9776625448743514
UNFI,7.991085641515445
CBNK,8.0151559312154
CHTR,8.024069921749872
WRLD,8.094080546613245
RYTM,8.263565891472865
OVBC,8.304590076943475
PLTR,8.378730913834124
BTSG,8.427419354838708
SSRM,8.506944444444448
GBTC,8.567224988682655
COE,8.601609657947673
VRNA,8.703703703703702
CAKE,8.709562744400994
PLNT,8.880562060889934
TPR,8.940081164955831
MRCY,8.957385188249907
GRPN,9.006099748833876
FRHC,9.032432432432437
BKTI,9.054453355846347
