Symbol,RSI_12M
IIIV,91.62303664921458
LBRDA,91.61836825679895
LAUR,91.5520628683693
SLNO,91.54681538009979
DRI,91.48665819567982
LFMD,91.48471615720524
EAT,91.421568627451
MMM,91.3202042304888
FOXA,91.23376623376635
CCB,91.06830122591944
FARO,91.0089224433768
SLM,90.94292803970222
RRC,90.9316770186335
TKO,90.81632653061224
EXEL,90.79089924160348
TIGO,90.67894131185272
QURE,90.67865903515946
LINC,90.67641681901283
BROS,90.63063063063069
VLGEA,90.55876685934486
BCS,90.54726368159206
AR,90.52987598647121
BKTI,90.52808046940484
ETR,90.45307443365692
UVE,90.43062200956948
UNFI,90.35752979414951
FTNT,90.30378693300042
FFIV,90.21630615640599
NYAX,90.10989010989013
YMM,90.10526315789473
CVCO,90.04472843450482
BWFG,90.03931847968548
ITRN,90.0
DB,89.91097922848647
PCRX,89.89583333333334
EQT,89.65517241379311
UNB,89.56623681125443
FRHC,89.47092718700888
IBEX,89.2528147389969
CYBR,89.13575214023629
SAP,88.93442622950812
TLN,88.92925099463764
RDVT,88.88162197514717
COOP,88.83169203222917
MAG,88.80952380952382
WMB,88.78612716763
DE,88.755980861244
UNM,88.72950819672128
WILC,88.67924528301884
CHTR,88.64285011317783
ALKS,88.62876254180603
VEON,88.56015779092705
RBKB,88.52459016393439
PUK,88.51063829787248
CRWD,88.4732492387995
KGC,88.43930635838153
LQDA,88.43813387423934
WRLD,88.38883888388841
CPBI,88.37209302325553
FYBR,88.33333333333331
LARK,88.33034111310594
LI,88.26815642458102
ACHR,88.06970509383378
SSYS,88.04780876494024
KINS,88.04664723032072
CAH,87.98037612428465
PLMR,87.78398510242081
WPM,87.78242677824272
CXW,87.70491803278688
BBAR,87.65652951699467
OMAB,87.57333333333337
SSRM,87.46081504702195
VIRT,87.43343982960597
ESQ,87.37695425593515
GNTY,87.21340388007053
CRS,87.1832537642306
DBVT,87.10691823899371
NATH,87.05293276108729
TITN,86.81159420289856
SNEX,86.72340425531914
DRS,86.68032786885249
ASND,86.64067309665504
DRVN,86.28048780487802
HURN,86.2396204033215
PLYA,86.20689655172418
CPRX,86.10421836228284
MRNO,85.99562363238513
NWG,85.99439775910368
BBUC,85.96237337192473
NPCE,85.94791035735915
SKE,85.93155893536124
MT,85.62401263823065
CASY,85.58573035513407
THFF,85.52534900808226
CNP,85.34482758620693
QBTS,85.33057851239668
VIPS,85.02340093603748
CHWY,84.69468675654242
BLX,84.6580406654344
ATO,84.57258472432974
PEN,84.52358401212348
ASTE,84.51776649746193
CHCI,84.48275862068962
HCI,84.44681988241584
MPAA,84.31876606683805
URBN,83.74809547993907
RYTM,83.71361132966169
MLYS,83.68734069668649
CME,83.65098272781422
BCOW,83.42245989304811
PERI,83.28981723237597
TATT,82.80936454849498
BSET,82.60869565217394
CAKE,82.39316239316238
XPEV,82.1525885558583
VEEV,82.14686728048505
LOAR,82.13533130414422
USAU,82.00836820083683
PAC,81.95571955719558
SDGR,81.41361256544502
SENEA,80.16759776536311
CCEC,80.09259259259251
MGIC,80.05464480874316
KEN,79.06976744186053
